Date,open,high,low,Close,volume
31-07-2006,57.52,68.63,50.16,67.96,4369935500
30-06-2006,59.85,63.1,55.41,57.27,4484155900
31-05-2006,70.77,73.8,58.69,59.77,3902194800
28-04-2006,63.67,72.05,61.05,70.39,5029820600
31-03-2006,68.84,69.9908,57.67,62.72,5798158100
28-02-2006,74.95,76.46,62.9,68.49,4690174300
31-01-2006,72.38,86.4,70.87,75.51,5469592800
30-12-2005,68.95,75.46,68.8099,71.89,3266041100
30-11-2005,57.24,71.07,56.87,67.82,3364106900
31-10-2005,54.16,57.98,47.87,57.59,4660861800
30-09-2005,47,54.56,46.09,53.61,3086942600
31-08-2005,42.57,48.3298,42.02,46.89,2350201700
29-07-2005,36.83,44.38,36.2921,42.65,2523561600
30-06-2005,39.89,40.76,35.52,36.81,2831798900
31-05-2005,36.21,40.94,33.11,39.759,3214573600
29-04-2005,42.09,44.45,34,36.06,4843879600
31-03-2005,44.99,45.11,38.83,41.67,3668980000
28-02-2005,77.02,90.88,43.96,44.86,5362236600
31-01-2005,64.7776,77.89,62.6,76.9,6427061200
31-12-2004,67.79,67.95,61.6,64.4,3987153800
30-11-2004,52.5,69.57,52.04,67.05,4359901000
29-10-2004,39.12,53.2,37.65,52.4,4023591600
30-09-2004,34.3,39.27,34.19,38.75,1918376600
31-08-2004,31.24,35.18,29.7,34.49,2002841400
30-07-2004,32.08,33.63,28.74,32.34,2424144800
30-06-2004,27.7898,34.19,27.61,32.54,2056808600
28-05-2004,26,28.78,25.5,28.06,1326068800
30-04-2004,26.9,29.58,25.49,25.78,2232543600
31-03-2004,24.09,28.14,23.6,27.04,2906528800
27-02-2004,22.46,24.1,21.7,23.92,1230507600
30-01-2004,21.55,24.84,21.18,22.56,1981950600
31-12-2003,21.04,21.9,19.25,21.37,1363468400
28-11-2003,22.83,23.3,19.85,20.91,1243526200
31-10-2003,20.71,25.011,20.19,22.89,1760047800
30-09-2003,22.66,23.32,20.149,20.72,1336871200
29-08-2003,21,22.85,19.42,22.61,1076891200
31-07-2003,18.87,21.5715,18.51,21.08,1304567600
30-06-2003,18.1,19.69,16.63,19.06,1528333800
30-05-2003,14.25,19,14,17.95,2702886200
30-04-2003,14.2,14.95,12.72,14.22,1943835600
31-03-2003,15.01,15.16,14.04,14.14,1007101200
28-02-2003,14.41,15.3,14.06,15.01,1028575800
31-01-2003,14.36,15.38,13.56,14.36,1511458200
31-12-2002,15.9,16.1,13.78,14.33,1132609800
29-11-2002,15.94,17.38,15.01,15.5,1132930400
31-10-2002,14.6,16.44,13.36,16.07,1652858200
30-09-2002,14.49,15.19,14.0489,14.5,1322959400
30-08-2002,15.11,16.25,13.97,14.75,1287921600
31-07-2002,17.71,18.79,13.8,15.26,2029603800
28-06-2002,23.39,23.45,15.98,17.72,2177004200
31-05-2002,24.29,25.98,22.1401,23.3,1494039400
30-04-2002,23.38,26.17,23,24.27,1605709000
28-03-2002,21.93,25.3,21.82,23.67,1329645800
28-02-2002,24.3404,25.98,20.94,21.7,1959356000
31-01-2002,22.05,24.73,20.259,24.72,2128844200
31-12-2001,21.06,24.03,20.09,21.9,1157459800
30-11-2001,17.65,21.55,17.25,21.3,1342436200
31-10-2001,15.49,19.42,14.83,17.56,1886061800
28-09-2001,18.5,19.08,14.68,15.51,1382880800
31-08-2001,19.01,19.9,17.28,18.55,1282339800
31-07-2001,23.6429,25.22,17.852,18.79,2163775600
29-06-2001,20.13,25.1,19.35,23.25,1909566400
31-05-2001,25.41,26.7,19.3,19.95,1867108600
30-04-2001,22.0901,27.12,18.75,25.49,2789747800
30-03-2001,17.813,23.75,17.188,22.07,2699765600
28-02-2001,20.688,21.938,18,18.25,1755941600
31-01-2001,14.875,22.5,14.438,21.625,3427365200
29-12-2000,17,17.4998,13.625,14.875,2214742600
30-11-2000,19.438,23,16.125,16.5,2122093400
31-10-2000,26.688,26.75,17.5,19.563,5476447200
29-09-2000,61.313,64.125,25.375,25.75,3629232600
31-08-2000,50.313,61.5,44.25,60.938,1409021600
31-07-2000,52.125,60.6285,46.875,50.813,1436692600
30-06-2000,81.75,103.938,50.313,52.375,2026301200
31-05-2000,124.875,126.25,81.75,84,2451937600
28-04-2000,135.5,139.5,104.875,124.063,2165601200
31-03-2000,118.563,150.375,114,135.813,2174589200
29-02-2000,104,119.938,97,114.625,1829945600
31-01-2000,104.875,121.5,86.5,103.75,3138794400
31-12-1999,101,118,91.063,102.813,2354553600
30-11-1999,80,103.75,77.313,97.875,2156232400
29-10-1999,62.125,81.063,59.5,80.125,3617124000
